iter	RMSE
0	1675.225696
1	1657.591657
2	1640.531947
3	1625.868245
4	1610.571833
5	1591.665984
6	1578.689379
7	1564.751963
8	1548.361665
9	1530.677423
10	1519.878116
11	1509.064964
12	1498.566704
13	1488.570805
14	1478.698294
15	1465.477474
16	1457.271902
17	1449.363995
18	1440.982119
19	1426.846087
20	1414.613718
21	1407.260707
22	1400.924991
23	1394.798504
24	1384.922039
25	1379.512221
26	1372.95338
27	1367.267259
28	1362.519529
29	1352.607601
30	1347.155376
31	1341.621488
32	1336.16245
33	1327.337144
34	1323.757316
35	1319.431026
36	1315.603124
37	1308.615038
38	1305.412322
39	1302.251127
40	1295.690997
41	1288.227073
42	1284.259609
43	1276.610264
44	1273.992572
45	1271.223328
46	1269.094873
47	1264.085007
48	1261.970162
49	1257.551217
50	1250.861347
51	1248.406871
52	1246.162033
53	1240.118697
54	1237.713713
55	1236.260606
56	1233.830814
57	1231.905102
58	1230.484872
59	1225.160941
60	1223.675167
61	1222.530489
62	1220.675631
63	1219.19656
64	1216.982326
65	1215.217255
66	1211.687402
67	1209.833784
68	1208.719707
69	1205.537851
70	1204.261425
71	1203.208739
72	1199.87326
73	1197.739098
74	1195.126549
75	1193.951743
76	1190.844016
77	1190.15195
78	1188.264739
79	1185.106245
80	1182.361647
81	1181.471038
82	1180.943578
83	1179.954755
84	1178.816693
85	1177.36367
86	1176.773194
87	1176.279494
88	1174.814442
89	1174.223207
90	1172.312591
91	1169.612403
92	1167.881052
93	1165.479554
94	1164.596091
95	1163.143154
96	1161.051238
97	1160.192048
98	1159.657723
99	1158.921958
100	1158.503246
101	1157.875906
102	1155.967955
103	1154.030926
104	1152.302362
105	1151.375776
106	1150.759288
107	1150.369703
108	1149.94098
109	1148.740924
110	1148.352902
111	1147.949108
112	1146.582421
113	1144.978424
114	1143.700411
115	1143.348833
116	1142.736541
117	1141.04001
118	1140.087966
119	1139.583408
120	1139.033201
121	1138.324859
122	1138.023707
123	1137.687668
124	1136.27783
125	1135.548207
126	1135.108233
127	1134.564053
128	1133.919029
129	1133.709292
130	1133.41879
131	1132.935548
132	1131.67369
133	1131.096926
134	1130.542289
135	1130.309853
136	1129.602294
137	1128.479389
138	1128.036834
139	1127.621221
140	1126.728509
141	1125.841585
142	1124.84325
143	1124.107197
144	1123.687626
145	1123.209436
146	1122.323749
147	1121.770488
148	1121.427473
149	1121.027471
150	1120.774716
151	1119.967251
152	1119.499901
153	1119.070995
154	1118.510526
155	1118.27156
156	1117.865492
157	1117.347599
158	1117.131886
159	1116.854193
160	1116.351702
161	1116.120453
162	1115.818845
163	1115.532524
164	1115.013779
165	1114.708357
166	1114.341773
167	1113.905606
168	1113.618942
169	1113.341143
170	1113.026602
171	1112.322036
172	1111.634487
173	1111.108677
174	1110.81894
175	1110.52007
176	1110.005766
177	1109.493189
178	1109.051116
179	1108.673658
180	1108.514024
181	1108.042487
182	1107.815097
183	1107.511092
184	1107.112866
185	1106.900249
186	1106.664763
187	1106.220977
188	1105.686805
189	1105.449255
190	1105.11666
191	1104.991583
192	1104.835779
193	1104.329809
194	1103.795767
195	1103.526776
196	1103.207433
197	1102.52567
198	1102.208593
199	1101.845392
200	1101.672258
201	1101.042205
202	1100.653833
203	1100.393501
204	1099.989854
205	1099.846063
206	1099.534802
207	1099.343779
208	1099.098884
209	1098.797807
210	1098.229966
211	1097.756818
212	1097.108281
213	1096.75313
214	1096.354913
215	1095.85792
216	1095.498418
217	1095.29526
218	1095.037566
219	1094.50757
220	1093.807415
221	1093.511218
222	1093.269781
223	1093.124826
224	1092.980184
225	1092.754325
226	1092.404474
227	1092.21386
228	1091.89647
229	1091.709019
230	1091.510223
231	1091.365938
232	1091.209497
233	1090.960158
234	1090.494975
235	1090.144173
236	1090.008889
237	1089.270733
238	1088.788613
239	1088.507321
240	1088.318261
241	1088.097608
242	1087.828467
243	1087.530912
244	1087.261865
245	1087.010533
246	1086.68103
247	1086.335756
248	1085.823914
249	1085.486945
250	1085.220381
251	1084.957265
252	1084.635597
253	1084.339959
254	1084.163975
255	1083.912643
256	1083.718464
257	1083.687519
258	1083.463226
259	1083.207052
260	1082.7876
261	1082.519844
262	1081.963527
263	1081.739617
264	1081.485064
265	1081.337656
266	1081.086831
267	1080.925272
268	1080.824758
269	1080.628675
270	1080.294981
271	1079.656546
272	1079.507447
273	1079.369864
274	1079.108553
275	1078.838581
276	1078.584038
277	1078.106987
278	1077.588888
279	1077.185625
280	1076.851566
281	1076.528151
282	1076.222078
283	1076.014254
284	1075.767115
285	1075.23745
286	1074.851576
287	1074.662516
288	1074.410619
289	1074.016298
290	1073.856635
291	1073.611204
292	1073.346117
293	1073.164401
294	1072.911771
295	1072.724633
296	1072.433326
297	1072.08393
298	1071.703317
299	1071.442892
300	1071.276784
301	1070.955496
302	1070.739594
303	1070.530371
304	1070.349925
305	1070.157404
306	1069.654352
307	1069.391692
308	1069.124638
309	1068.826088
310	1068.501094
311	1068.305858
312	1068.145437
313	1067.951559
314	1067.661212
315	1067.338322
316	1067.008826
317	1066.685003
318	1066.408024
319	1066.182944
320	1065.963797
321	1065.605559
322	1065.163449
323	1064.979137
324	1064.621111
325	1064.360356
326	1064.041239
327	1063.666579
328	1063.470709
329	1063.188381
330	1062.969966
331	1062.660365
332	1062.264673
333	1061.975256
334	1061.729836
335	1061.466765
336	1061.327258
337	1061.003841
338	1060.629178
339	1060.334068
340	1060.141039
341	1059.849755
342	1059.580636
343	1059.277798
344	1058.862689
345	1058.621706
346	1058.322996
347	1058.061076
348	1057.798646
349	1057.463187
350	1057.255175
351	1057.094158
352	1056.827825
353	1056.615368
354	1056.247138
355	1055.860431
356	1055.62635
357	1055.29078
358	1055.014892
359	1054.741249
360	1054.514292
361	1054.148636
362	1053.944517
363	1053.608869
364	1053.258976
365	1053.037044
366	1052.84491
367	1052.490262
368	1052.328769
369	1052.139251
370	1051.91231
371	1051.611325
372	1051.380853
373	1051.183071
374	1050.98181
375	1050.702391
376	1050.463491
377	1050.251228
378	1049.978353
379	1049.64712
380	1049.442512
381	1049.124929
382	1048.899852
383	1048.663009
384	1048.427391
385	1048.217933
386	1048.037264
387	1047.881454
388	1047.632008
389	1047.317438
390	1046.954973
391	1046.723549
392	1046.530335
393	1046.214958
394	1045.889941
395	1045.71868
396	1045.501958
397	1045.2652
398	1045.065716
399	1044.822648
400	1044.488737
401	1044.24135
402	1043.961654
403	1043.746924
404	1043.594182
405	1043.225372
406	1043.014145
407	1042.749285
408	1042.475545
409	1042.348753
410	1042.180596
411	1041.941248
412	1041.711105
413	1041.4922
414	1041.24445
415	1041.064345
416	1040.792005
417	1040.555279
418	1040.279027
419	1040.037885
420	1039.769763
421	1039.580685
422	1039.314331
423	1039.105555
424	1038.879789
425	1038.67776
426	1038.439047
427	1038.175318
428	1037.954452
429	1037.763722
430	1037.517878
431	1037.315496
432	1037.051509
433	1036.900491
434	1036.593728
435	1036.374688
436	1036.147015
437	1035.911836
438	1035.687797
439	1035.488074
440	1035.18032
441	1035.004057
442	1034.727597
443	1034.460168
444	1034.252173
445	1034.080171
446	1033.898536
447	1033.725575
448	1033.600252
449	1033.352331
450	1033.136912
451	1032.817632
452	1032.6741
453	1032.458445
454	1032.203595
455	1031.947684
456	1031.663787
457	1031.554235
458	1031.39239
459	1031.161616
460	1031.002977
461	1030.792024
462	1030.584004
463	1030.410538
464	1030.124359
465	1029.898936
466	1029.618311
467	1029.464637
468	1029.247091
469	1029.059672
470	1028.867011
471	1028.712401
472	1028.491051
473	1028.376371
474	1028.211321
475	1028.058032
476	1027.916184
477	1027.685298
478	1027.433551
479	1027.285882
480	1027.095639
481	1026.909372
482	1026.748254
483	1026.507441
484	1026.363496
485	1026.121696
486	1025.921897
487	1025.796457
488	1025.502938
489	1025.275236
490	1025.042341
491	1024.846327
492	1024.572843
493	1024.297442
494	1024.041071
495	1023.835902
496	1023.688064
497	1023.491544
498	1023.210343
499	1023.088699
500	1022.783026
501	1022.64252
502	1022.377292
503	1022.100534
504	1021.921911
505	1021.801019
506	1021.629388
507	1021.322764
508	1021.019207
509	1020.883459
510	1020.710885
511	1020.543113
512	1020.349204
513	1020.222187
514	1019.986789
515	1019.849819
516	1019.647815
517	1019.539751
518	1019.324098
519	1019.180985
520	1018.947649
521	1018.661915
522	1018.410299
523	1018.179504
524	1017.98451
525	1017.722138
526	1017.472367
527	1017.291311
528	1017.094727
529	1016.809793
530	1016.549007
531	1016.390915
532	1016.237632
533	1016.123901
534	1016.031005
535	1015.836466
536	1015.712244
537	1015.438824
538	1015.283936
539	1015.171426
540	1014.998588
541	1014.86827
542	1014.704747
543	1014.6084
544	1014.450764
545	1014.282208
546	1014.124791
547	1013.944417
548	1013.786169
549	1013.614802
550	1013.465798
551	1013.277178
552	1013.034472
553	1012.808967
554	1012.576787
555	1012.453874
556	1012.320542
557	1012.164086
558	1012.024052
559	1011.897173
560	1011.746575
561	1011.626802
562	1011.449822
563	1011.203083
564	1011.020048
565	1010.932573
566	1010.773461
567	1010.583773
568	1010.360436
569	1010.175658
570	1010.036941
571	1009.893512
572	1009.741939
573	1009.608506
574	1009.492302
575	1009.240021
576	1009.061055
577	1008.896584
578	1008.728123
579	1008.575297
580	1008.417807
581	1008.243003
582	1008.117695
583	1007.97877
584	1007.815741
585	1007.721082
586	1007.530228
587	1007.387462
588	1007.16727
589	1007.05666
590	1006.901085
591	1006.702908
592	1006.620454
593	1006.438714
594	1006.202618
595	1005.85136
596	1005.6521
597	1005.419252
598	1005.281024
599	1005.102379
600	1004.735777
601	1004.620968
602	1004.456768
603	1004.214393
604	1004.016289
605	1003.755719
606	1003.53343
607	1003.383437
608	1003.238181
609	1003.141735
610	1002.903386
611	1002.710276
612	1002.57895
613	1002.425236
614	1002.21803
615	1002.069634
616	1001.862564
617	1001.73975
618	1001.601609
619	1001.518309
620	1001.437697
621	1001.185733
622	1001.082196
623	1000.911684
624	1000.741593
625	1000.480122
626	1000.21709
627	999.996252
628	999.8506218
629	999.6984435
630	999.5916522
631	999.3922163
632	999.2095441
633	999.0475018
634	998.8337668
635	998.5897373
636	998.4879004
637	998.3074996
638	998.0699067
639	997.8693443
640	997.6603278
641	997.5354058
642	997.3920836
643	997.1993557
644	997.0950385
645	996.8824449
646	996.7381184
647	996.5758939
648	996.345957
649	996.2442792
650	996.0054011
651	995.7250045
652	995.5568579
653	995.3338506
654	995.2214481
655	995.1165514
656	994.8715518
657	994.7357154
658	994.525803
659	994.3676263
660	994.2491675
661	993.9843878
662	993.8541775
663	993.6674774
664	993.5562596
665	993.3438199
666	993.1767064
667	993.0695691
668	992.8760557
669	992.653771
670	992.4817973
671	992.3175325
672	992.0838463
673	991.8875654
674	991.7306658
675	991.4948611
676	991.3612722
677	991.1411228
678	991.03656
679	990.9290957
680	990.7931871
681	990.6777842
682	990.4400364
683	990.3086413
684	990.0580987
685	989.9155777
686	989.7960581
687	989.6228025
688	989.4576251
689	989.2519107
690	988.9964424
691	988.8353774
692	988.6138058
693	988.4074482
694	988.2826564
695	988.0653627
696	987.9330241
697	987.7895495
698	987.6572433
699	987.5259913
700	987.3670668
701	987.211734
702	987.0428597
703	986.9179821
704	986.8267075
705	986.7427485
706	986.5262927
707	986.3357982
708	986.2076869
709	986.0128305
