iter	Passed	Remaining
0	2	4717
1	4	4585
2	6	4253
3	8	4056
4	9	3984
5	11	3945
6	13	3899
7	15	3842
8	17	3812
9	19	3788
10	20	3782
11	22	3763
12	24	3750
13	26	3743
14	28	3746
15	30	3740
16	31	3728
17	33	3724
18	35	3736
19	37	3726
20	39	3729
21	41	3727
22	43	3735
23	45	3736
24	47	3737
25	49	3738
26	51	3747
27	53	3767
28	56	3818
29	58	3872
30	62	3947
31	64	3975
32	67	3998
33	69	4020
34	72	4068
35	75	4097
36	77	4117
37	80	4135
38	82	4156
39	85	4170
40	87	4194
41	90	4221
42	93	4237
43	95	4250
44	98	4267
45	100	4283
46	103	4318
47	106	4345
48	109	4355
49	112	4386
50	115	4410
51	118	4436
52	121	4451
53	124	4472
54	126	4480
55	129	4510
56	133	4539
57	135	4545
58	138	4549
59	141	4562
60	143	4565
61	146	4570
62	148	4566
63	150	4558
64	153	4556
65	155	4553
66	158	4570
67	160	4568
68	163	4564
69	165	4559
70	167	4558
71	170	4555
72	172	4554
73	174	4552
74	177	4553
75	179	4549
76	182	4547
77	184	4546
78	186	4541
79	189	4536
80	191	4541
81	194	4544
82	196	4540
83	199	4539
84	201	4541
85	203	4540
86	206	4538
87	208	4537
88	211	4534
89	213	4530
90	215	4525
91	218	4525
92	220	4526
93	223	4532
94	226	4534
95	228	4540
96	231	4548
97	234	4558
98	238	4571
99	240	4576
100	243	4578
101	245	4577
102	248	4576
103	251	4576
104	254	4586
105	256	4589
106	259	4586
107	261	4586
108	264	4588
109	267	4589
110	269	4586
111	272	4587
112	274	4588
113	277	4587
114	280	4590
115	282	4590
116	285	4591
117	287	4592
118	290	4590
119	292	4588
120	295	4590
121	298	4592
122	301	4593
123	303	4594
124	306	4596
125	308	4595
126	311	4598
127	314	4599
128	317	4600
129	319	4599
130	322	4600
131	325	4601
132	327	4602
133	330	4602
134	333	4602
135	335	4601
136	338	4599
137	341	4612
138	344	4613
139	347	4611
140	349	4612
141	352	4613
142	355	4611
143	357	4609
144	360	4609
145	362	4606
146	365	4605
147	367	4601
148	370	4600
149	372	4598
150	375	4597
151	377	4595
152	380	4593
153	383	4598
154	386	4599
155	389	4598
156	391	4597
157	394	4594
158	396	4592
159	399	4593
160	402	4594
161	404	4593
162	407	4592
163	410	4590
164	412	4591
165	415	4590
166	417	4581
167	419	4578
168	422	4578
169	425	4578
170	427	4576
171	430	4574
172	433	4573
173	435	4572
174	438	4570
175	440	4568
176	443	4564
177	445	4561
178	448	4560
179	450	4556
180	453	4554
181	455	4551
182	458	4548
183	460	4546
184	462	4542
185	465	4539
186	467	4537
187	470	4533
188	472	4531
189	475	4526
190	477	4522
191	480	4522
192	483	4523
193	492	4583
194	495	4585
195	498	4585
196	501	4585
197	503	4586
198	506	4586
199	509	4587
200	512	4587
201	515	4589
202	518	4592
203	522	4598
204	527	4622
205	532	4637
206	560	4857
207	563	4854
208	566	4852
209	569	4852
210	575	4878
211	577	4872
212	580	4871
213	583	4869
214	586	4865
215	588	4862
216	591	4857
217	593	4852
218	596	4848
219	598	4843
220	601	4838
221	603	4833
222	605	4828
223	608	4824
224	611	4820
225	613	4816
226	616	4812
227	618	4808
228	621	4803
229	623	4800
230	626	4794
231	628	4791
232	631	4786
233	633	4782
234	636	4777
235	637	4765
236	640	4762
237	643	4760
238	645	4756
239	647	4751
240	650	4746
241	652	4741
242	655	4738
243	657	4734
244	660	4730
245	662	4726
246	666	4726
247	668	4725
248	671	4724
249	674	4722
250	677	4720
251	680	4717
252	682	4715
253	685	4712
254	688	4709
255	690	4706
256	693	4705
257	695	4696
258	698	4692
259	700	4689
260	703	4686
261	705	4682
262	708	4678
263	710	4674
264	713	4672
265	716	4670
266	719	4669
267	722	4666
268	724	4662
269	727	4659
270	729	4657
271	732	4654
272	735	4650
273	737	4647
274	740	4643
275	743	4642
276	745	4637
277	748	4634
278	750	4631
279	753	4628
280	756	4625
281	758	4621
282	761	4617
283	763	4614
284	766	4611
285	768	4607
286	771	4604
287	774	4601
288	776	4597
289	779	4596
290	782	4593
291	784	4590
292	787	4587
293	789	4583
294	792	4579
295	795	4578
296	798	4576
297	800	4572
298	802	4567
299	805	4563
300	807	4559
301	810	4555
302	812	4551
303	815	4546
304	817	4542
305	819	4539
306	822	4535
307	825	4532
308	827	4528
309	829	4524
310	832	4521
311	834	4517
312	837	4512
313	839	4508
314	842	4505
315	845	4504
316	847	4501
317	850	4498
318	853	4495
319	855	4492
320	858	4488
321	860	4484
322	862	4480
323	865	4477
324	868	4473
325	870	4469
326	872	4465
327	875	4462
328	877	4459
329	880	4455
330	883	4454
331	885	4451
332	888	4447
333	890	4442
334	893	4438
335	895	4433
336	897	4430
337	900	4427
338	902	4423
339	905	4419
340	907	4414
341	909	4411
342	913	4411
343	915	4407
344	918	4404
345	920	4400
346	923	4397
347	926	4396
348	929	4397
349	933	4398
350	935	4396
351	938	4395
352	942	4397
353	945	4397
354	948	4396
355	952	4396
356	954	4393
357	957	4390
358	960	4388
359	963	4388
360	966	4388
361	969	4387
362	972	4385
363	975	4383
364	978	4382
365	982	4384
366	985	4383
367	988	4385
368	992	4385
369	995	4383
370	998	4383
371	1001	4382
372	1005	4384
373	1008	4383
374	1011	4382
375	1014	4383
376	1018	4385
377	1022	4385
378	1025	4386
379	1028	4383
380	1030	4380
381	1033	4379
382	1036	4376
383	1039	4374
384	1042	4371
385	1044	4367
386	1047	4364
387	1049	4360
388	1052	4357
389	1054	4354
390	1057	4351
391	1060	4349
392	1063	4346
393	1065	4344
394	1068	4341
395	1070	4337
396	1073	4334
397	1075	4330
398	1078	4327
399	1081	4324
400	1083	4321
401	1086	4317
402	1088	4313
403	1091	4310
404	1093	4307
405	1096	4303
406	1098	4299
407	1101	4296
408	1103	4292
409	1106	4289
410	1108	4286
411	1111	4284
412	1113	4280
413	1117	4279
414	1119	4277
415	1122	4275
416	1126	4274
417	1129	4273
418	1132	4272
419	1134	4269
420	1137	4266
421	1140	4263
422	1142	4260
423	1145	4257
424	1149	4258
425	1151	4255
426	1154	4252
427	1156	4249
428	1159	4246
429	1162	4242
430	1164	4239
431	1166	4235
432	1169	4232
433	1171	4228
434	1174	4225
435	1177	4223
436	1179	4220
437	1182	4217
438	1185	4214
439	1188	4213
440	1191	4212
441	1194	4209
442	1196	4206
443	1199	4203
444	1201	4199
445	1204	4195
446	1206	4192
447	1209	4189
448	1212	4188
449	1215	4185
450	1218	4183
451	1220	4180
452	1223	4177
453	1225	4173
454	1228	4169
455	1230	4166
456	1232	4162
457	1235	4158
458	1237	4154
459	1239	4150
460	1242	4146
461	1244	4143
462	1248	4144
463	1250	4141
464	1253	4138
465	1256	4135
466	1258	4132
467	1261	4129
468	1263	4126
469	1266	4122
470	1268	4119
471	1271	4116
472	1274	4113
473	1276	4110
474	1279	4107
475	1281	4104
476	1284	4100
477	1286	4097
478	1289	4094
479	1291	4091
480	1294	4087
481	1296	4083
482	1299	4080
483	1301	4077
